date,USDONTD156N
29/03/2012,0.153
30/03/2012,0.1525
02/04/2012,0.15
03/04/2012,0.151
04/04/2012,0.151
05/04/2012,0.151
06/04/2012,.
09/04/2012,.
10/04/2012,0.151
11/04/2012,0.151
12/04/2012,0.15
13/04/2012,0.15
16/04/2012,0.15
17/04/2012,0.15
18/04/2012,0.148
19/04/2012,0.149
20/04/2012,0.148
23/04/2012,0.147
24/04/2012,0.145
25/04/2012,0.144
26/04/2012,0.146
27/04/2012,0.146
30/04/2012,0.147
01/05/2012,0.147
02/05/2012,0.147
03/05/2012,0.147
04/05/2012,0.147
07/05/2012,.
08/05/2012,0.147
09/05/2012,0.147
10/05/2012,0.148
11/05/2012,0.149
14/05/2012,0.15
15/05/2012,0.1515
16/05/2012,0.1555
17/05/2012,0.1545
18/05/2012,0.155
21/05/2012,0.1555
22/05/2012,0.1555
23/05/2012,0.156
24/05/2012,0.153
25/05/2012,0.153
28/05/2012,.
29/05/2012,0.154
30/05/2012,0.154
31/05/2012,0.156
01/06/2012,0.157
04/06/2012,.
05/06/2012,.
06/06/2012,0.159
07/06/2012,0.159
08/06/2012,0.1595
11/06/2012,0.1595
12/06/2012,0.1595
13/06/2012,0.1605
14/06/2012,0.1605
15/06/2012,0.1625
18/06/2012,0.1625
19/06/2012,0.164
20/06/2012,0.165
21/06/2012,0.166
22/06/2012,0.166
25/06/2012,0.166
26/06/2012,0.167
27/06/2012,0.1665
28/06/2012,0.1675
29/06/2012,0.1695
02/07/2012,0.168
03/07/2012,0.17
04/07/2012,.
05/07/2012,0.1705
06/07/2012,0.1705
09/07/2012,0.1705
10/07/2012,0.1705
11/07/2012,0.169
12/07/2012,0.169
13/07/2012,0.169
16/07/2012,0.169
17/07/2012,0.169
18/07/2012,0.169
19/07/2012,0.168
20/07/2012,0.1665
23/07/2012,0.1655
24/07/2012,0.1625
25/07/2012,0.1629
26/07/2012,0.1629
27/07/2012,0.1624
30/07/2012,0.1624
31/07/2012,0.1614
01/08/2012,0.1599
02/08/2012,0.1594
03/08/2012,0.1589
06/08/2012,0.1584
07/08/2012,0.1564
08/08/2012,0.1544
09/08/2012,0.1534
10/08/2012,0.1534
13/08/2012,0.1514
14/08/2012,0.1539
15/08/2012,0.1529
16/08/2012,0.1529
17/08/2012,0.1524
20/08/2012,0.1524
21/08/2012,0.1524
22/08/2012,0.1524
23/08/2012,0.1514
24/08/2012,0.1514
27/08/2012,.
28/08/2012,0.1514
29/08/2012,0.1514
30/08/2012,0.1514
31/08/2012,0.1504
03/09/2012,.
04/09/2012,0.1514
05/09/2012,0.1514
06/09/2012,0.1529
07/09/2012,0.1524
10/09/2012,0.1524
11/09/2012,0.1524
12/09/2012,0.1524
13/09/2012,0.1524
14/09/2012,0.1539
17/09/2012,0.1529
18/09/2012,0.1519
19/09/2012,0.1519
20/09/2012,0.1514
21/09/2012,0.1514
24/09/2012,0.1514
25/09/2012,0.1509
26/09/2012,0.1509
27/09/2012,0.1516
28/09/2012,0.1516
01/10/2012,0.1501
02/10/2012,0.1501
03/10/2012,0.1521
04/10/2012,0.1521
05/10/2012,0.1531
08/10/2012,0.1531
09/10/2012,0.1531
10/10/2012,0.1525
11/10/2012,0.1525
12/10/2012,0.1525
15/10/2012,0.1535
16/10/2012,0.1545
17/10/2012,0.1535
18/10/2012,0.1535
19/10/2012,0.1535
22/10/2012,0.1535
23/10/2012,0.1535
24/10/2012,0.1535
25/10/2012,0.1545
26/10/2012,0.1535
29/10/2012,0.1545
30/10/2012,0.155
31/10/2012,0.156
01/11/2012,0.155
02/11/2012,0.156
05/11/2012,0.156
06/11/2012,0.1545
07/11/2012,0.1545
08/11/2012,0.153
09/11/2012,0.154
12/11/2012,0.154
13/11/2012,0.153
14/11/2012,0.1535
15/11/2012,0.1545
16/11/2012,0.1545
19/11/2012,0.1545
20/11/2012,0.1545
21/11/2012,0.1545
22/11/2012,0.1545
23/11/2012,0.155
26/11/2012,0.156
27/11/2012,0.159
28/11/2012,0.16
29/11/2012,0.16
30/11/2012,0.1605
03/12/2012,0.1605
04/12/2012,0.16
05/12/2012,0.16
06/12/2012,0.1625
07/12/2012,0.1625
10/12/2012,0.1625
11/12/2012,0.1615
12/12/2012,0.1615
13/12/2012,0.1615
14/12/2012,0.1625
17/12/2012,0.164
18/12/2012,0.1635
19/12/2012,0.1635
20/12/2012,0.1635
21/12/2012,0.1635
24/12/2012,0.1655
25/12/2012,.
26/12/2012,.
27/12/2012,0.167
28/12/2012,0.1665
31/12/2012,0.168
01/01/2013,.
02/01/2013,0.1655
03/01/2013,0.1665
04/01/2013,0.1665
07/01/2013,0.1645
08/01/2013,0.164
09/01/2013,0.164
10/01/2013,0.1605
11/01/2013,0.1595
14/01/2013,0.1595
15/01/2013,0.1595
16/01/2013,0.1635
17/01/2013,0.1585
18/01/2013,0.158
21/01/2013,0.158
22/01/2013,0.1605
23/01/2013,0.1595
24/01/2013,0.1565
25/01/2013,0.159
28/01/2013,0.16
29/01/2013,0.157
30/01/2013,0.155
31/01/2013,0.154
01/02/2013,0.155
04/02/2013,0.155
05/02/2013,0.156
06/02/2013,0.154
07/02/2013,0.153
08/02/2013,0.153
11/02/2013,0.154
12/02/2013,0.153
13/02/2013,0.152
14/02/2013,0.154
15/02/2013,0.155
18/02/2013,.
19/02/2013,0.154
20/02/2013,0.1555
21/02/2013,0.1565
22/02/2013,0.1565
25/02/2013,0.1565
26/02/2013,0.1565
27/02/2013,0.1555
28/02/2013,0.153
01/03/2013,0.154
04/03/2013,0.154
05/03/2013,0.154
06/03/2013,0.153
07/03/2013,0.155
08/03/2013,0.155
11/03/2013,0.155
12/03/2013,0.155
13/03/2013,0.155
14/03/2013,0.153
15/03/2013,0.153
18/03/2013,0.155
19/03/2013,0.156
20/03/2013,0.155
21/03/2013,0.156
22/03/2013,0.157
25/03/2013,0.157
26/03/2013,0.157
27/03/2013,0.156
28/03/2013,0.156
29/03/2013,.
01/04/2013,.
02/04/2013,0.154
03/04/2013,0.154
04/04/2013,0.154
05/04/2013,0.154
08/04/2013,0.155
09/04/2013,0.155
10/04/2013,0.155
11/04/2013,0.155
12/04/2013,0.157
15/04/2013,0.157
16/04/2013,0.157
17/04/2013,0.157
18/04/2013,0.157
19/04/2013,0.156
22/04/2013,0.155
23/04/2013,0.154
24/04/2013,0.152
25/04/2013,0.15
26/04/2013,0.149
29/04/2013,0.148
30/04/2013,0.147
01/05/2013,0.148
02/05/2013,0.15
03/05/2013,0.15
06/05/2013,.
07/05/2013,0.1485
08/05/2013,0.1485
09/05/2013,0.1475
10/05/2013,0.146
13/05/2013,0.1465
14/05/2013,0.146
15/05/2013,0.145
16/05/2013,0.147
17/05/2013,0.1465
20/05/2013,0.1464
21/05/2013,0.1464
22/05/2013,0.1425
23/05/2013,0.1389
24/05/2013,0.135
27/05/2013,.
28/05/2013,0.1337
29/05/2013,0.1349
30/05/2013,0.1341
31/05/2013,0.1322
03/06/2013,0.1338
04/06/2013,0.1343
05/06/2013,0.133
06/06/2013,0.133
07/06/2013,0.1326
10/06/2013,0.1329
11/06/2013,0.1314
12/06/2013,0.1314
13/06/2013,0.1305
14/06/2013,0.129
17/06/2013,0.1308
18/06/2013,0.1283
19/06/2013,0.1271
20/06/2013,0.1269
21/06/2013,0.1303
24/06/2013,0.1316
25/06/2013,0.1321
26/06/2013,0.1319
27/06/2013,0.1289
28/06/2013,0.125
01/07/2013,0.1245
02/07/2013,0.1263
03/07/2013,0.1243
04/07/2013,.
05/07/2013,0.1253
08/07/2013,0.1243
09/07/2013,0.1251
10/07/2013,0.1251
11/07/2013,0.1209
12/07/2013,0.1202
15/07/2013,0.11979
16/07/2013,0.11894
17/07/2013,0.11768
18/07/2013,0.11812
19/07/2013,0.11746
22/07/2013,0.12021
23/07/2013,0.11935
24/07/2013,0.11965
25/07/2013,0.11938
26/07/2013,0.11874
29/07/2013,0.1198
30/07/2013,0.119
31/07/2013,0.1187
01/08/2013,0.1176
02/08/2013,0.11703
05/08/2013,0.1186
06/08/2013,0.1196
07/08/2013,0.1198
08/08/2013,0.1207
09/08/2013,0.1196
12/08/2013,0.1198
13/08/2013,0.1189
14/08/2013,0.1183
15/08/2013,0.1178
16/08/2013,0.1176
19/08/2013,0.1165
20/08/2013,0.1162
21/08/2013,0.1153
22/08/2013,0.1157
23/08/2013,0.1168
26/08/2013,.
27/08/2013,0.1173
28/08/2013,0.118
29/08/2013,0.117
30/08/2013,0.1163
02/09/2013,.
03/09/2013,0.1153
04/09/2013,0.1158
05/09/2013,0.1165
06/09/2013,0.1165
09/09/2013,0.1157
10/09/2013,0.1152
11/09/2013,0.114
12/09/2013,0.1128
13/09/2013,0.1119
16/09/2013,0.113
17/09/2013,0.1115
18/09/2013,0.1115
19/09/2013,0.1114
20/09/2013,0.1119
23/09/2013,0.1114
24/09/2013,0.1105
25/09/2013,0.1111
26/09/2013,0.1104
27/09/2013,0.1093
30/09/2013,0.1052
01/10/2013,0.105
02/10/2013,0.1051
03/10/2013,0.1032
04/10/2013,0.1013
07/10/2013,0.1022
08/10/2013,0.1018
09/10/2013,0.1022
10/10/2013,0.1065
11/10/2013,0.1038
14/10/2013,.
15/10/2013,0.1048
16/10/2013,0.1069
